query_kind,query_ref,candidate_kind,candidate_ref,label,why
pim_product,LKP-PIM-EXACT-00,atlas_source_product,atl-lookup-a:EXACT-00,match,"Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
atlas_source_product,atl-lookup-a:EXACT-00,pim_product,LKP-PIM-EXACT-00,match,"reverse: Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
pim_product,LKP-PIM-EXACT-01,atlas_source_product,atl-lookup-b:EXACT-01,match,"Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
atlas_source_product,atl-lookup-b:EXACT-01,pim_product,LKP-PIM-EXACT-01,match,"reverse: Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
pim_product,LKP-PIM-EXACT-02,atlas_source_product,atl-lookup-a:EXACT-02,match,"Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
atlas_source_product,atl-lookup-a:EXACT-02,pim_product,LKP-PIM-EXACT-02,match,"reverse: Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
pim_product,LKP-PIM-EXACT-03,atlas_source_product,atl-lookup-b:EXACT-03,match,"Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
atlas_source_product,atl-lookup-b:EXACT-03,pim_product,LKP-PIM-EXACT-03,match,"reverse: Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
pim_product,LKP-PIM-EXACT-04,atlas_source_product,atl-lookup-a:EXACT-04,match,"Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
atlas_source_product,atl-lookup-a:EXACT-04,pim_product,LKP-PIM-EXACT-04,match,"reverse: Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
pim_product,LKP-PIM-EXACT-05,atlas_source_product,atl-lookup-b:EXACT-05,match,"Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
atlas_source_product,atl-lookup-b:EXACT-05,pim_product,LKP-PIM-EXACT-05,match,"reverse: Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
pim_product,LKP-PIM-EXACT-06,atlas_source_product,atl-lookup-a:EXACT-06,match,"Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
atlas_source_product,atl-lookup-a:EXACT-06,pim_product,LKP-PIM-EXACT-06,match,"reverse: Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
pim_product,LKP-PIM-EXACT-07,atlas_source_product,atl-lookup-b:EXACT-07,match,"Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
atlas_source_product,atl-lookup-b:EXACT-07,pim_product,LKP-PIM-EXACT-07,match,"reverse: Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
pim_product,LKP-PIM-EXACT-08,atlas_source_product,atl-lookup-a:EXACT-08,match,"Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
atlas_source_product,atl-lookup-a:EXACT-08,pim_product,LKP-PIM-EXACT-08,match,"reverse: Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
pim_product,LKP-PIM-EXACT-09,atlas_source_product,atl-lookup-b:EXACT-09,match,"Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
atlas_source_product,atl-lookup-b:EXACT-09,pim_product,LKP-PIM-EXACT-09,match,"reverse: Same GTIN, brand and name — canonical duplicate seen through two feeds, each with its own product shot."
pim_product,LKP-PIM-VARIANT-00,atlas_source_product,atl-lookup-a:VARIANT-00,variant,"Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
atlas_source_product,atl-lookup-a:VARIANT-00,pim_product,LKP-PIM-VARIANT-00,variant,"reverse: Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
pim_product,LKP-PIM-VARIANT-01,atlas_source_product,atl-lookup-b:VARIANT-01,variant,"Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
atlas_source_product,atl-lookup-b:VARIANT-01,pim_product,LKP-PIM-VARIANT-01,variant,"reverse: Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
pim_product,LKP-PIM-VARIANT-02,atlas_source_product,atl-lookup-a:VARIANT-02,variant,"Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
atlas_source_product,atl-lookup-a:VARIANT-02,pim_product,LKP-PIM-VARIANT-02,variant,"reverse: Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
pim_product,LKP-PIM-VARIANT-03,atlas_source_product,atl-lookup-b:VARIANT-03,variant,"Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
atlas_source_product,atl-lookup-b:VARIANT-03,pim_product,LKP-PIM-VARIANT-03,variant,"reverse: Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
pim_product,LKP-PIM-VARIANT-04,atlas_source_product,atl-lookup-a:VARIANT-04,variant,"Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
