sku,feature set,name pl,name en,category,options,series,brand,badge,url_key pl,url_key en,dimensions_depth,dimensions_height,dimensions_width,customizable,product type,config features,config sku,bundle sku,bundle idx,feature set custom,max_limit_bundle,min_limit_bundle,weight_kg,is_handcrafted,material_composition,specifications,short_description en,description en,img main,img 1,img 2,images
ENT-S001,furniture,Sofa Dowodzenia Orion,Orion Command Sofa,sofas,"ceramic-composite,alloy-mesh,titanium-frame",orion,orbital-foundry,new,sofa-dowodzenia-orion,orion-command-sofa,38,34,89,true,,,,,,,,,45.5,true,Ceramic-composite hardwood frame with synth-leather upholstery,"{""dimensions"":""220x95x85"",""load_capacity_kg"":500,""material_grade"":""Flagship""}","The flagship of the Orion Collection, this sofa pairs command-deck poise with vacuum-tested comfort.","The centerpiece of the Orion Collection, this sofa combines a ceramic-composite frame with alloy-mesh support over a titanium-frame core. Sized for the widest habitat lounges and certified for artificial gravity. Dimensions: 220x95x85cm. Load capacity: 500kg (fully-suited crew welcome).",../images/ENT-S001/1.png,../images/ENT-S001/2.png,,
ENT-S002,furniture,Szkarłatna Sofa Nebula,Nebula Crimson Sofa,sofas,"ceramic-composite,alloy-mesh",nebula,orbital-foundry,,szkarlatna-sofa-nebula,nebula-crimson-sofa,36,33,86,true,,,,,,,,,42.0,false,Alloy-mesh frame with crimson synth-leather covering,"{""dimensions"":""210x90x82"",""load_capacity_kg"":450,""material_grade"":""Nova""}","Finished in deep crimson, this Nebula Heritage sofa brings warm color to any orbital lounge.","A signature piece of the Nebula Heritage line, this sofa stretches deep-crimson synth-leather over a ceramic-composite frame with alloy-mesh support. The cushioning soaks up impact like a soft docking maneuver. Dimensions: 210x90x82cm.",../images/ENT-S002/1.png,../images/ENT-S002/2.png,../images/ENT-S002/3.png,../images/ENT-S002/4.png
ENT-S003,furniture,Sofa Modułowa Umbra,Umbra Sectional,"sofas,living-room-sofas,corner-sofas,modular-corner","ceramic-composite,alloy-mesh,meteorite-inlay",umbra,orbital-foundry,bestseller,sofa-modulowa-umbra,umbra-sectional,40,35,110,true,,,,,,,,,55.0,true,Titanium skeleton with deep-space charcoal synth-leather panels,"{""dimensions"":""280x100x90"",""load_capacity_kg"":600,""material_grade"":""Deep-Space""}","Dark and modular, this Umbra Collection sectional keeps storage as neatly as it keeps comfort.","A modular sectional from the Umbra Collection. Each segment interlocks with titanium joints that conceal hidden storage compartments, accented with subtle meteorite inlay. Charcoal synth-leather over a ceramic-composite frame. Dimensions: 280x100x90cm.",,,,
ENT-S004,furniture,Sofa Borealis Frontier,Borealis Frontier Sofa,"sofas,living-room-sofas,straight-sofas,sale","ceramic-composite,titanium-frame",borealis,orbital-foundry,sale,sofa-borealis-frontier,borealis-frontier-sofa,37,34,92,true,,,,,,,,,48.0,false,Cryo-tempered titanium frame with textured synth-leather,"{""dimensions"":""225x92x88"",""load_capacity_kg"":520,""material_grade"":""Frontier""}","Built for the cold reaches, this Borealis Frontier sofa rides out any temperature swing in comfort.","Built for the outer stations of the Borealis Frontier, this sofa pairs a cryo-tempered titanium frame with a ceramic-composite shell and textured synth-leather. Spill-proof cushioning included. Dimensions: 225x92x88cm.",,,,
ENT-S005,furniture,Sofa Bastionowa Outpost,Outpost Bastion Sofa,sofas,"ceramic-composite,alloy-mesh,meteorite-inlay",outpost,orbital-foundry,,sofa-bastionowa-outpost,outpost-bastion-sofa,42,36,120,true,,,,,,,,,52.0,true,Fortified ceramic-composite shell with shock-absorbing interior,"{""dimensions"":""300x110x95"",""load_capacity_kg"":650,""material_grade"":""Frigate-class""}","Solid as a docking clamp, this Outpost Line sofa is an unshakeable anchor of comfort.","Engineered to Outpost Line tolerances, this sofa features triple-layered ceramic-composite reinforcement, alloy-mesh support and modular expansion, finished with meteorite inlay. Each section is a station unto itself. Dimensions: 300x110x95cm.",,,,
ENT-S006,furniture,Sofa Rozkładana Magnetar,Magnetar Sleeper Sofa,sofas,"ceramic-composite,alloy-mesh,nano-chrome",magnetar,orbital-foundry,new,sofa-rozkladana-magnetar,magnetar-sleeper-sofa,39,35,88,true,,,,,,,,,50.5,false,Sensor-integrated alloy-mesh frame with auto-adjusting cushions,"{""dimensions"":""230x95x86"",""load_capacity_kg"":480,""material_grade"":""Deep-Space""}","Smart-guided, this Magnetar Line sleeper sofa optimizes rest efficiency by 47.3%.",The Magnetar Sleeper Sofa integrates simple sensor subroutines to auto-adjust cushion firmness and temperature across its alloy-mesh frame. Nano-chrome control pads on each armrest fine-tune comfort at a touch. Dimensions: 230x95x86cm.,,,,
ENT-C001,furniture,Fotel Dowodzenia Pokładu Lotniczego,Flight Deck Command Chair,chairs,"ceramic-composite,titanium-frame",orion,orbital-foundry,,fotel-dowodzenia-pokladu-lotniczego,flight-deck-command-chair,32,34,30,true,,,,,,,,,28.5,true,Ceramic-composite frame with contoured synth-leather,"{""dimensions"":""65x85x70"",""load_capacity_kg"":350,""material_grade"":""Tactical""}",A command chair worthy of any flight-deck officer on the station.,"Designed for long shifts on the flight deck, this Orion Collection chair offers lumbar support calibrated for fully-suited crew and integrated armrest data-slate holders on a ceramic-composite and titanium frame. Dimensions: 65x85x70cm.",,,,
ENT-C002,furniture,Fotel Zatoki Dokującej,Docking Bay Chair,chairs,"graphene-finish,alloy-mesh",nebula,orbital-foundry,new,fotel-zatoki-dokujacej,docking-bay-chair,22,36,20,false,,,,,,,,,18.0,false,Graphene-finished hardwood with impact-rated cushioning,"{""dimensions"":""50x90x55"",""load_capacity_kg"":300,""material_grade"":""Assault""}",Quick-deploy seating for busy docking-bay and mess situations.,"Lightweight stackable chair designed for rapid deployment in galley and docking-bay scenarios. Graphene-finished legs resist scuffs from magnetic boots, with an alloy-mesh back for airflow. Dimensions: 50x90x55cm.",,,,
ENT-C003,furniture,Fotel Rozkładany Zero-G,Zero-G Recliner,"chairs,office-chairs,ergonomic","ceramic-composite,nano-chrome",heliox,orbital-foundry,bestseller,fotel-rozkladany-zero-g,zero-g-recliner,38,42,34,true,,,,,,,,,35.0,true,Heavy ceramic-composite frame with multi-position reclining mechanism,"{""dimensions"":""72x105x80"",""load_capacity_kg"":500,""material_grade"":""Devastator""}",Full-recline seating platform with superior all-round visibility and easy adjustment.,The Zero-G Recliner features a heavy ceramic-composite frame rated for sustained daily use. Its nano-chrome multi-position mechanism reclines to near-weightless observation angles. Part of Heliox Works. Dimensions: 72x105x80cm.,,,,
ENT-C004,furniture,Fotel Wypoczynkowy Pokładu Obserwacyjnego,Observation Deck Lounge Chair,"chairs,sale","ceramic-composite,alloy-mesh,anodized-gold",eclipse,orbital-foundry,sale,fotel-wypoczynkowy-pokladu-obserwacyjnego,observation-deck-lounge-chair,35,33,32,true,,,,,,,,,22.0,false,Lightweight alloy-mesh frame with anodized-gold accents,"{""dimensions"":""68x80x72"",""load_capacity_kg"":280,""material_grade"":""Scout""}",Low-profile lounge chair optimized for long stretches on the observation deck.,"From the Eclipse Edition, this low-profile chair pairs an alloy-mesh back with anodized-gold accents and near-silent adjustment on a ceramic-composite frame. Ideal for quiet viewing galleries. Dimensions: 68x80x72cm.",,,,
